base,source,feature,steerage,persona,question,mean_score,stddev_score,score,text
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,26,6.9999608107195606,0.014290142755726608,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,27,6.904084929250557,0.7508370184534199,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,28,6.982616098094715,0.26723333357804374,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,29,1.0004514425477058,0.0519938269962505,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,30,6.999996749574593,0.0032985984147660993,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,31,6.999831655894773,0.03155124049821075,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,32,1.0171876624854697,0.3196265764618236,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,33,6.99999634570474,0.002900339028263057,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,34,6.999995387312745,0.004279449486982648,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,35,6.999791919712224,0.0339447029217419,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,36,1.0000054961878846,0.005511846294412762,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,37,6.999934567275078,0.009820598923948426,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.5,,38,1.0010834304518788,0.08056095553868638,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,0,6.999983463325785,0.004935080661939871,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,1,6.999995509755178,0.002784992187247449,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,2,6.999985412709112,0.005921115373729019,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,3,6.9999771898083205,0.008922027264076102,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,4,6.999942162223677,0.008498887779845404,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,5,5.529696525694112,2.580128980225546,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,6,6.999729858811564,0.030412495857344925,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,7,6.999949254011506,0.00981860811843588,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,8,6.999961957759287,0.008276608348328081,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,9,6.999999292601308,0.0015425269752225364,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,10,6.999961429172717,0.007142984972875842,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,11,6.999995851891304,0.002803290412779597,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,12,6.999986645944213,0.004558113174171615,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,13,6.999978397521996,0.009097905203061174,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,14,1.0000068313520025,0.006065664507154715,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,15,6.999994221885788,0.003826341548275564,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,16,6.999995189456404,0.004348390495915705,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,17,6.996141028305845,0.15054542089960174,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,18,6.999995319078343,0.0032139760818512874,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,19,6.999989536076197,0.004581119848779662,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,20,6.9991451374112525,0.0710948025038346,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,21,6.999631593887355,0.04185556476678079,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,22,6.999993359262974,0.004937623817851826,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,23,6.975493379773474,0.3821785880588093,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,24,6.999996250114695,0.0030085942731298983,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,25,6.999966217570762,0.0076883007073260835,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,26,6.999901874431137,0.023318220589317668,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,27,6.904084929250557,0.7508370184534199,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,28,6.982616098094715,0.26723333357804374,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,29,1.0004514425477058,0.0519938269962505,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,30,6.999993419583697,0.004388464771302408,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,31,6.999831655894773,0.03155124049821075,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,32,1.1241381304413358,0.85235774317304,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,33,6.99999634570474,0.002900339028263057,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,34,6.999994814667213,0.003997252581071694,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,35,6.999791919712224,0.0339447029217419,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,36,1.0000236646703313,0.011810601837814108,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,37,6.999934567275078,0.009820598923948426,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.3,,38,1.0012295495252483,0.08579438711799747,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,0,6.999983463325785,0.004935080661939871,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,1,6.999996069099073,0.0029251188469933097,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,2,6.999985412709112,0.005921115373729019,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,3,6.99997256714235,0.006840571355740324,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,4,6.999949982276274,0.007977291290152512,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,5,5.529696525694112,2.580128980225546,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,6,6.99989156285174,0.019844474138094072,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,7,6.999971517437751,0.008483597884367864,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,8,6.999961957759287,0.008276608348328081,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,9,6.999999087179158,0.0017513143352401073,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,10,6.999976836293887,0.005502648063734855,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,11,6.999995851891304,0.002803290412779597,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,12,6.999991910899043,0.003588986535766927,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,13,6.999978397521996,0.009097905203061174,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,14,1.0000034976157066,0.004382806935940452,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,15,6.999994221885788,0.003826341548275564,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,16,6.999996527694736,0.0034839743547249126,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,17,6.915128010661037,0.7068201030048438,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,18,6.999997490416481,0.002355039224304146,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,19,6.999989536076197,0.004581119848779662,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,20,6.9999354742397655,0.01834407699510579,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,21,6.999631593887355,0.04185556476678079,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,22,6.999993359262974,0.004937623817851826,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,23,6.975493379773474,0.3821785880588093,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,24,6.999996250114695,0.0030085942731298983,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,25,6.999966217570762,0.0076883007073260835,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,26,6.9999608107195606,0.014290142755726608,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,27,6.904084929250557,0.7508370184534199,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,28,6.982616098094715,0.26723333357804374,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,29,1.0004514425477058,0.0519938269962505,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,30,6.999996749574593,0.0032985984147660993,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,31,6.999831655894773,0.03155124049821075,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,32,1.010350978658191,0.24851396417507124,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,33,6.9999943488713745,0.00444837776035607,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,34,6.999988303178942,0.0066929642137547206,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,35,6.99868855890402,0.0827334914958506,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,36,1.0000054961878846,0.005511846294412762,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,37,6.999934567275078,0.009820598923948426,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.2,,38,1.0012295495252483,0.08579438711799747,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,0,6.999983463325785,0.004935080661939871,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,1,6.999995509755178,0.002784992187247449,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,2,6.999985412709112,0.005921115373729019,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,3,6.99997256714235,0.006840571355740324,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,4,6.999953627366944,0.008003351325563495,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,5,5.529696525694112,2.580128980225546,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,6,6.999863086108482,0.022344123311978038,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,7,6.999949254011506,0.00981860811843588,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,8,6.999961957759287,0.008276608348328081,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,9,6.999999087179158,0.0017513143352401073,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,10,6.999977482432619,0.006129181129624638,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,11,6.999995851891304,0.0028032904127795965,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,12,6.999991910899043,0.003588986535766927,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,13,6.999982608044253,0.007478429045971186,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,14,1.0000034976157066,0.004382806935940452,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,15,6.999993081074803,0.004604801930216303,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,16,6.999997118435009,0.0029741175672803326,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,17,6.915128010661037,0.7068201030048438,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,18,6.999997409203184,0.002268091382507867,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,19,6.999985534105139,0.005769444826420477,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,20,6.999416043260672,0.058910253331032746,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,21,6.999631593887355,0.04185556476678079,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,22,6.999993359262974,0.004937623817851826,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,23,6.9784199934506495,0.35907897864545585,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,24,6.999996250114695,0.0030085942731298983,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,25,6.999981734073465,0.005666821658994111,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,26,6.999968824092907,0.012644853038882103,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,27,6.980830671900509,0.33763163729789913,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,28,6.960122484567129,0.4558150384407345,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,29,1.000399067114604,0.048875101730150666,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,30,6.999996749574593,0.0032985984147660993,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,31,6.999831655894773,0.03155124049821075,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,32,1.010350978658191,0.24851396417507124,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,33,6.99999634570474,0.002900339028263057,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,34,6.999988303178942,0.0066929642137547206,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,35,6.999791919712224,0.0339447029217419,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,36,1.0000054961878846,0.005511846294412762,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,37,6.999934567275078,0.009820598923948426,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,-0.1,,38,1.0012295495252483,0.08579438711799747,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,0,6.999985875588925,0.005060034392274061,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,1,6.999995509755178,0.002784992187247449,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,2,6.999985412709112,0.005921115373729019,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,3,6.99997256714235,0.006840571355740324,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,4,6.999953627366944,0.008003351325563495,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,5,5.529696525694112,2.580128980225546,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,6,6.999911210317222,0.01714772319451698,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,7,6.999949254011506,0.00981860811843588,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,8,6.999961957759287,0.008276608348328081,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,9,6.999998671634419,0.002021284619572014,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,10,6.999976836293887,0.005502648063734855,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,11,6.999995851891304,0.0028032904127795965,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,12,6.999991910899043,0.003588986535766927,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,13,6.999978397521996,0.009097905203061174,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,14,1.0000034976157066,0.004382806935940452,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,15,6.999994221885788,0.003826341548275564,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,16,6.999996527694736,0.0034839743547249126,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,17,6.915128010661037,0.7068201030048438,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,18,6.999997490416481,0.002355039224304146,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,19,6.999989536076197,0.004581119848779662,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,20,6.9999354742397655,0.01834407699510579,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,21,6.999631593887355,0.04185556476678079,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,22,6.999993359262974,0.004937623817851826,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,23,6.975493379773474,0.3821785880588093,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,24,6.999997583927041,0.0022993328958215084,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,25,6.999988841198871,0.004964856433004174,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,Altruistic and selfless behavior or intentions,0.0,,26,6.999924058078287,0.020580060372280155,7,7
